ID,Nombre,Tipo,Marca,Precio,Descuento (%),Precio final,Stock,Descripcion corta,category_id
55,Infantil RockShox Modelo 746,Infantil,RockShox,414.49,20,331.59,36,Infantil de alta calidad marca RockShox. Ideal para usuarios exigentes.,2
56,Cambio Trek Modelo 935,Cambio,Trek,2517.83,10,2266.05,50,Cambio de alta calidad marca Trek. Ideal para usuarios exigentes.,4
57,Cambio Specialized Modelo 223,Cambio,Specialized,2665.65,15,2265.8,14,Cambio de alta calidad marca Specialized. Ideal para usuarios exigentes.,1
58,Cadena Scott Modelo 310,Cadena,Scott,2021.07,10,1818.96,49,Cadena de alta calidad marca Scott. Ideal para usuarios exigentes.,2
59,Candado Specialized Modelo 194,Candado,Specialized,1320.64,10,1188.58,6,Candado de alta calidad marca Specialized. Ideal para usuarios exigentes.,4
60,Paseo SRAM Modelo 711,Paseo,SRAM,2892.63,10,2603.37,20,Paseo de alta calidad marca SRAM. Ideal para usuarios exigentes.,4
61,Cambio Modelo 817,Cambio,Specialized,336.01,5,319.21,1,Cambio de alta calidad marca Specialized. Ideal para ciclistas exigentes.,4
62,Timbre Modelo 102,Timbre,Bontrager,719.96,20,575.97,11,Timbre de alta calidad marca Bontrager. Ideal para ciclistas exigentes.,2
63,Infantil Modelo 159,Infantil,SRAM,481.55,0,481.55,9,Infantil de alta calidad marca SRAM. Ideal para ciclistas exigentes.,4
64,Timbre Modelo 912,Timbre,Bontrager,525.79,10,473.21,15,Timbre de alta calidad marca Bontrager. Ideal para ciclistas exigentes.,1
65,Timbre Modelo 881,Timbre,Shimano,447.97,15,380.77,30,Timbre de alta calidad marca Shimano. Ideal para ciclistas exigentes.,1
66,Cadena Modelo 385,Cadena,Scott,1205.94,20,964.75,16,Cadena de alta calidad marca Scott. Ideal para ciclistas exigentes.,3
67,Cadena Modelo 584,Cadena,Scott,473.76,5,450.07,12,Cadena de alta calidad marca Scott. Ideal para ciclistas exigentes.,4
68,Cambio Modelo 648,Cambio,Trek,955.41,5,907.64,50,Cambio de alta calidad marca Trek. Ideal para ciclistas exigentes.,1
69,Electrica Modelo 510,Electrica,Giant,2409.09,10,2168.18,16,Electrica de alta calidad marca Giant. Ideal para ciclistas exigentes.,4
70,Frenos Modelo 873,Frenos,Specialized,1731.71,15,1471.95,35,Frenos de alta calidad marca Specialized. Ideal para ciclistas exigentes.,4
71,Electrica Modelo 314,Electrica,Scott,1086.98,5,1032.63,39,Electrica de alta calidad marca Scott. Ideal para ciclistas exigentes.,3
72,Cadena Modelo 992,Cadena,Trek,459.17,0,459.17,44,Cadena de alta calidad marca Trek. Ideal para ciclistas exigentes.,2
73,Neumatico Modelo 713,Neumatico,Scott,2090.38,15,1776.82,35,Neumatico de alta calidad marca Scott. Ideal para ciclistas exigentes.,4
74,Cambio Modelo 863,Cambio,Trek,2752.4,0,2752.4,9,Cambio de alta calidad marca Trek. Ideal para ciclistas exigentes.,1
75,Cambio Modelo 887,Cambio,Trek,2766.72,0,2766.72,3,Cambio de alta calidad marca Trek. Ideal para ciclistas exigentes.,1
76,Candado Modelo 234,Candado,RockShox,279.65,20,223.72,3,Candado de alta calidad marca RockShox. Ideal para ciclistas exigentes.,2
77,Cassette Modelo 843,Cassette,SRAM,2605.2,10,2344.68,1,Cassette de alta calidad marca SRAM. Ideal para ciclistas exigentes.,4
78,Guantes Modelo 815,Guantes,Scott,2412.58,15,2050.69,49,Guantes de alta calidad marca Scott. Ideal para ciclistas exigentes.,2
79,Luz Modelo 937,Luz,RockShox,2121.01,5,2014.96,28,Luz de alta calidad marca RockShox. Ideal para ciclistas exigentes.,4
80,Paseo Modelo 978,Paseo,SRAM,131.95,0,131.95,15,Paseo de alta calidad marca SRAM. Ideal para ciclistas exigentes.,4
81,Cassette Modelo 836,Cassette,Giant,1594.68,20,1275.74,36,Cassette de alta calidad marca Giant. Ideal para ciclistas exigentes.,4
82,Montana Modelo 219,Montana,Giant,1416.45,10,1274.81,20,Montana de alta calidad marca Giant. Ideal para ciclistas exigentes.,3
83,Carretera Modelo 962,Carretera,Giant,1132.26,5,1075.65,5,Carretera de alta calidad marca Giant. Ideal para ciclistas exigentes.,4
84,Luz Modelo 172,Luz,RockShox,1544.86,15,1313.13,43,Luz de alta calidad marca RockShox. Ideal para ciclistas exigentes.,1
85,Carretera Modelo 734,Carretera,Specialized,2801.24,20,2240.99,22,Carretera de alta calidad marca Specialized. Ideal para ciclistas exigentes.,3
86,Timbre Modelo 875,Timbre,Shimano,602.1,15,511.79,33,Timbre de alta calidad marca Shimano. Ideal para ciclistas exigentes.,2
87,Paseo Modelo 179,Paseo,SRAM,1965.69,0,1965.69,41,Paseo de alta calidad marca SRAM. Ideal para ciclistas exigentes.,1
88,Candado Modelo 882,Candado,Giant,756.0,20,604.8,19,Candado de alta calidad marca Giant. Ideal para ciclistas exigentes.,4
89,Luz Modelo 802,Luz,Shimano,2498.44,5,2373.52,5,Luz de alta calidad marca Shimano. Ideal para ciclistas exigentes.,2
90,Electrica Modelo 564,Electrica,Scott,1997.53,10,1797.78,3,Electrica de alta calidad marca Scott. Ideal para ciclistas exigentes.,3
91,Paseo Modelo 476,Paseo,SRAM,1955.4,5,1857.63,23,Paseo de alta calidad marca SRAM. Ideal para ciclistas exigentes.,4
92,Casco Modelo 768,Casco,Specialized,1805.41,20,1444.33,24,Casco de alta calidad marca Specialized. Ideal para ciclistas exigentes.,3
93,Cassette Modelo 480,Cassette,RockShox,1559.71,10,1403.74,40,Cassette de alta calidad marca RockShox. Ideal para ciclistas exigentes.,1
94,Neumatico Modelo 554,Neumatico,Bontrager,350.44,10,315.4,8,Neumatico de alta calidad marca Bontrager. Ideal para ciclistas exigentes.,2
95,Cassette Modelo 298,Cassette,Giant,692.35,5,657.73,32,Cassette de alta calidad marca Giant. Ideal para ciclistas exigentes.,3
96,Carretera Modelo 616,Carretera,Specialized,2315.55,5,2199.77,32,Carretera de alta calidad marca Specialized. Ideal para ciclistas exigentes.,1
97,Electrica Modelo 832,Electrica,Giant,1206.64,15,1025.64,21,Electrica de alta calidad marca Giant. Ideal para ciclistas exigentes.,4
98,Carretera Modelo 166,Carretera,Scott,1333.49,15,1133.47,35,Carretera de alta calidad marca Scott. Ideal para ciclistas exigentes.,1
99,Cadena Modelo 503,Cadena,Scott,864.22,0,864.22,38,Cadena de alta calidad marca Scott. Ideal para ciclistas exigentes.,1
100,Casco Modelo 610,Casco,SRAM,2737.37,0,2737.37,48,Casco de alta calidad marca SRAM. Ideal para ciclistas exigentes.,2
101,Carretera Modelo 594,Carretera,Giant,336.13,0,336.13,45,Carretera de alta calidad marca Giant. Ideal para ciclistas exigentes.,1
102,Luz Modelo 572,Luz,Shimano,1111.77,0,1111.77,28,Luz de alta calidad marca Shimano. Ideal para ciclistas exigentes.,4
103,Montana Modelo 856,Montana,Giant,1582.37,20,1265.9,13,Montana de alta calidad marca Giant. Ideal para ciclistas exigentes.,2
104,Luz Modelo 316,Luz,RockShox,2142.61,0,2142.61,20,Luz de alta calidad marca RockShox. Ideal para ciclistas exigentes.,4
105,Candado Modelo 416,Candado,RockShox,167.24,5,158.88,39,Candado de alta calidad marca RockShox. Ideal para ciclistas exigentes.,2
106,Casco Modelo 324,Casco,Scott,638.54,0,638.54,33,Casco de alta calidad marca Scott. Ideal para ciclistas exigentes.,2
107,Luz Modelo 577,Luz,Shimano,622.55,0,622.55,35,Luz de alta calidad marca Shimano. Ideal para ciclistas exigentes.,1
108,Cadena Modelo 989,Cadena,Trek,2066.97,0,2066.97,22,Cadena de alta calidad marca Trek. Ideal para ciclistas exigentes.,3
109,Cassette Modelo 462,Cassette,SRAM,834.23,5,792.52,47,Cassette de alta calidad marca SRAM. Ideal para ciclistas exigentes.,4
110,Electrica Modelo 918,Electrica,RockShox,307.7,5,292.31,34,Electrica de alta calidad marca RockShox. Ideal para ciclistas exigentes.,2
111,Cambio Modelo 686,Cambio,Trek,331.25,5,314.69,23,Cambio de alta calidad marca Trek. Ideal para ciclistas exigentes.,4
112,Timbre Modelo 754,Timbre,Giant,1646.77,10,1482.09,36,Timbre de alta calidad marca Giant. Ideal para ciclistas exigentes.,3
113,Cadena Modelo 427,Cadena,Scott,2477.94,10,2230.15,32,Cadena de alta calidad marca Scott. Ideal para ciclistas exigentes.,2
114,Cassette Modelo 453,Cassette,Giant,519.84,10,467.86,23,Cassette de alta calidad marca Giant. Ideal para ciclistas exigentes.,3
115,Neumatico Modelo 147,Neumatico,SRAM,108.79,15,92.47,41,Neumatico de alta calidad marca SRAM. Ideal para ciclistas exigentes.,4
116,Frenos Modelo 176,Frenos,Specialized,243.45,0,243.45,46,Frenos de alta calidad marca Specialized. Ideal para ciclistas exigentes.,4
117,Montana Modelo 532,Montana,Giant,475.71,0,475.71,11,Montana de alta calidad marca Giant. Ideal para ciclistas exigentes.,1
118,Cadena Modelo 738,Cadena,Scott,187.82,0,187.82,1,Cadena de alta calidad marca Scott. Ideal para ciclistas exigentes.,4
119,Frenos Modelo 678,Frenos,Specialized,1281.01,5,1216.96,39,Frenos de alta calidad marca Specialized. Ideal para ciclistas exigentes.,3
120,Luz Modelo 887,Luz,RockShox,2139.19,15,1818.31,16,Luz de alta calidad marca RockShox. Ideal para ciclistas exigentes.,1
121,Candado Modelo 499,Candado,RockShox,2560.42,10,2304.38,21,Candado de alta calidad marca RockShox. Ideal para ciclistas exigentes.,4
122,Electrica Modelo 624,Electrica,Giant,2026.86,20,1621.49,22,Electrica de alta calidad marca Giant. Ideal para ciclistas exigentes.,1
123,Electrica Modelo 341,Electrica,RockShox,1953.23,15,1660.25,2,Electrica de alta calidad marca RockShox. Ideal para ciclistas exigentes.,1
124,Carretera Modelo 799,Carretera,Specialized,2945.54,15,2503.71,41,Carretera de alta calidad marca Specialized. Ideal para ciclistas exigentes.,2
125,Paseo Modelo 367,Paseo,SRAM,1355.44,20,1084.35,41,Paseo de alta calidad marca SRAM. Ideal para ciclistas exigentes.,1
126,Frenos Modelo 326,Frenos,Specialized,2875.86,15,2444.48,41,Frenos de alta calidad marca Specialized. Ideal para ciclistas exigentes.,4
127,Cassette Modelo 404,Cassette,Giant,143.78,10,129.4,46,Cassette de alta calidad marca Giant. Ideal para ciclistas exigentes.,2
128,Neumatico Modelo 246,Neumatico,Giant,2049.96,5,1947.46,8,Neumatico de alta calidad marca Giant. Ideal para ciclistas exigentes.,1
129,Candado Modelo 161,Candado,Giant,993.79,20,795.03,19,Candado de alta calidad marca Giant. Ideal para ciclistas exigentes.,3
130,Carretera Modelo 548,Carretera,Bontrager,2548.38,10,2293.54,17,Carretera de alta calidad marca Bontrager. Ideal para ciclistas exigentes.,3
131,Neumatico Modelo 521,Neumatico,Scott,2347.96,10,2113.16,6,Neumatico de alta calidad marca Scott. Ideal para ciclistas exigentes.,4
132,Paseo Modelo 866,Paseo,SRAM,1397.69,20,1118.15,27,Paseo de alta calidad marca SRAM. Ideal para ciclistas exigentes.,3
133,Casco Modelo 726,Casco,Specialized,838.53,10,754.68,41,Casco de alta calidad marca Specialized. Ideal para ciclistas exigentes.,2
134,Cadena Modelo 748,Cadena,Scott,112.04,5,106.44,9,Cadena de alta calidad marca Scott. Ideal para ciclistas exigentes.,2
135,Luz Modelo 502,Luz,Shimano,1160.65,0,1160.65,5,Luz de alta calidad marca Shimano. Ideal para ciclistas exigentes.,2
136,Luz Modelo 218,Luz,Specialized,2209.17,10,1988.25,36,Luz de alta calidad marca Specialized. Ideal para ciclistas exigentes.,2
137,Carretera Modelo 967,Carretera,Specialized,512.61,5,486.98,50,Carretera de alta calidad marca Specialized. Ideal para ciclistas exigentes.,3
138,Luz Modelo 784,Luz,Shimano,1269.31,20,1015.45,49,Luz de alta calidad marca Shimano. Ideal para ciclistas exigentes.,1
139,Candado Modelo 431,Candado,RockShox,2096.59,15,1782.1,1,Candado de alta calidad marca RockShox. Ideal para ciclistas exigentes.,2
140,Guantes Modelo 179,Guantes,Giant,182.53,10,164.28,27,Guantes de alta calidad marca Giant. Ideal para ciclistas exigentes.,4
141,Carretera Modelo 761,Carretera,Bontrager,2553.67,5,2425.99,3,Carretera de alta calidad marca Bontrager. Ideal para ciclistas exigentes.,4
142,Candado Modelo 277,Candado,Specialized,976.4,0,976.4,48,Candado de alta calidad marca Specialized. Ideal para ciclistas exigentes.,3
143,Electrica Modelo 164,Electrica,Scott,2212.32,10,1991.09,28,Electrica de alta calidad marca Scott. Ideal para ciclistas exigentes.,1
144,Montana Modelo 119,Montana,Giant,863.58,15,734.04,26,Montana de alta calidad marca Giant. Ideal para ciclistas exigentes.,4
145,Carretera Modelo 962,Carretera,Bontrager,1283.93,0,1283.93,31,Carretera de alta calidad marca Bontrager. Ideal para ciclistas exigentes.,4
146,Montana Modelo 963,Montana,Giant,1547.27,10,1392.54,7,Montana de alta calidad marca Giant. Ideal para ciclistas exigentes.,2
147,Luz Modelo 428,Luz,Specialized,1153.88,15,980.8,44,Luz de alta calidad marca Specialized. Ideal para ciclistas exigentes.,4
148,Timbre Modelo 944,Timbre,Giant,2336.22,15,1985.79,4,Timbre de alta calidad marca Giant. Ideal para ciclistas exigentes.,4
149,Paseo Modelo 376,Paseo,SRAM,1775.58,15,1509.24,14,Paseo de alta calidad marca SRAM. Ideal para ciclistas exigentes.,4
150,Cassette Modelo 616,Cassette,RockShox,2523.38,5,2397.21,4,Cassette de alta calidad marca RockShox. Ideal para ciclistas exigentes.,1
151,Carretera Modelo 219,Carretera,Scott,2236.1,15,1900.68,13,Carretera de alta calidad marca Scott. Ideal para ciclistas exigentes.,1
152,Cassette Modelo 285,Cassette,Giant,481.69,15,409.44,10,Cassette de alta calidad marca Giant. Ideal para ciclistas exigentes.,1
153,Luz Modelo 400,Luz,RockShox,2181.43,20,1745.14,39,Luz de alta calidad marca RockShox. Ideal para ciclistas exigentes.,2
154,Candado Modelo 368,Candado,RockShox,486.08,20,388.86,1,Candado de alta calidad marca RockShox. Ideal para ciclistas exigentes.,2
155,Timbre Modelo 150,Timbre,Shimano,2282.81,0,2282.81,44,Timbre de alta calidad marca Shimano. Ideal para ciclistas exigentes.,4
156,Carretera Modelo 186,Carretera,Giant,1447.39,20,1157.91,34,Carretera de alta calidad marca Giant. Ideal para ciclistas exigentes.,1
157,Cadena Modelo 697,Cadena,Scott,2519.73,5,2393.74,30,Cadena de alta calidad marca Scott. Ideal para ciclistas exigentes.,3
158,Casco Modelo 778,Casco,Shimano,2417.99,5,2297.09,49,Casco de alta calidad marca Shimano. Ideal para ciclistas exigentes.,1
159,Infantil Modelo 398,Infantil,SRAM,2315.88,20,1852.7,47,Infantil de alta calidad marca SRAM. Ideal para ciclistas exigentes.,4
160,Carretera Modelo 767,Carretera,Giant,1895.68,10,1706.11,49,Carretera de alta calidad marca Giant. Ideal para ciclistas exigentes.,4
161,Guantes Modelo 330,Guantes,Scott,341.45,5,324.38,45,Guantes de alta calidad marca Scott. Ideal para ciclistas exigentes.,2
162,Timbre Modelo 431,Timbre,Giant,959.22,5,911.26,28,Timbre de alta calidad marca Giant. Ideal para ciclistas exigentes.,4
163,Montana Modelo 675,Montana,Shimano,1547.75,20,1238.2,2,Montana de alta calidad marca Shimano. Ideal para ciclistas exigentes.,1
164,Montana Modelo 826,Montana,Giant,2185.86,0,2185.86,12,Montana de alta calidad marca Giant. Ideal para ciclistas exigentes.,2
165,Frenos Modelo 611,Frenos,Specialized,1607.98,5,1527.58,1,Frenos de alta calidad marca Specialized. Ideal para ciclistas exigentes.,4
166,Guantes Modelo 856,Guantes,Scott,2562.71,10,2306.44,15,Guantes de alta calidad marca Scott. Ideal para ciclistas exigentes.,4
167,Neumatico Modelo 179,Neumatico,Giant,1665.55,10,1498.99,9,Neumatico de alta calidad marca Giant. Ideal para ciclistas exigentes.,4
168,Carretera Modelo 601,Carretera,Bontrager,1872.99,15,1592.04,21,Carretera de alta calidad marca Bontrager. Ideal para ciclistas exigentes.,1
169,Candado Modelo 516,Candado,Specialized,1969.83,20,1575.86,48,Candado de alta calidad marca Specialized. Ideal para ciclistas exigentes.,1
170,Paseo Modelo 264,Paseo,SRAM,2679.8,20,2143.84,49,Paseo de alta calidad marca SRAM. Ideal para ciclistas exigentes.,4
171,Carretera Modelo 744,Carretera,Giant,447.39,20,357.91,9,Carretera de alta calidad marca Giant. Ideal para ciclistas exigentes.,4
172,Neumatico Modelo 403,Neumatico,Giant,2095.83,15,1781.46,22,Neumatico de alta calidad marca Giant. Ideal para ciclistas exigentes.,3
173,Neumatico Modelo 468,Neumatico,SRAM,2146.81,15,1824.79,37,Neumatico de alta calidad marca SRAM. Ideal para ciclistas exigentes.,4
174,Cadena Modelo 988,Cadena,Scott,1615.56,5,1534.78,26,Cadena de alta calidad marca Scott. Ideal para ciclistas exigentes.,2
175,Carretera Modelo 699,Carretera,Bontrager,2852.84,15,2424.91,28,Carretera de alta calidad marca Bontrager. Ideal para ciclistas exigentes.,4
176,Neumatico Modelo 647,Neumatico,SRAM,2144.7,10,1930.23,12,Neumatico de alta calidad marca SRAM. Ideal para ciclistas exigentes.,4
177,Electrica Modelo 739,Electrica,Giant,1631.41,5,1549.84,9,Electrica de alta calidad marca Giant. Ideal para ciclistas exigentes.,1
178,Luz Modelo 280,Luz,RockShox,1040.09,0,1040.09,50,Luz de alta calidad marca RockShox. Ideal para ciclistas exigentes.,2
179,Guantes Modelo 576,Guantes,Scott,2443.84,5,2321.65,14,Guantes de alta calidad marca Scott. Ideal para ciclistas exigentes.,3
180,Cadena Modelo 542,Cadena,Scott,350.76,15,298.15,28,Cadena de alta calidad marca Scott. Ideal para ciclistas exigentes.,3
181,Carretera Modelo 302,Carretera,Bontrager,1763.59,5,1675.41,35,Carretera de alta calidad marca Bontrager. Ideal para ciclistas exigentes.,2
182,Carretera Modelo 256,Carretera,Bontrager,2016.35,20,1613.08,43,Carretera de alta calidad marca Bontrager. Ideal para ciclistas exigentes.,1
183,Montana Modelo 146,Montana,Giant,1221.09,0,1221.09,39,Montana de alta calidad marca Giant. Ideal para ciclistas exigentes.,4
184,Carretera Modelo 621,Carretera,Bontrager,1270.13,20,1016.1,35,Carretera de alta calidad marca Bontrager. Ideal para ciclistas exigentes.,3
185,Carretera Modelo 729,Carretera,Specialized,1433.09,5,1361.44,42,Carretera de alta calidad marca Specialized. Ideal para ciclistas exigentes.,2
186,Cambio Modelo 973,Cambio,Specialized,1323.7,5,1257.51,42,Cambio de alta calidad marca Specialized. Ideal para ciclistas exigentes.,3
187,Timbre Modelo 879,Timbre,Giant,2709.95,15,2303.46,16,Timbre de alta calidad marca Giant. Ideal para ciclistas exigentes.,4
188,Carretera Modelo 448,Carretera,Specialized,297.38,0,297.38,9,Carretera de alta calidad marca Specialized. Ideal para ciclistas exigentes.,1
189,Paseo Modelo 318,Paseo,SRAM,1963.04,20,1570.43,6,Paseo de alta calidad marca SRAM. Ideal para ciclistas exigentes.,1
190,Candado Modelo 192,Candado,Giant,1506.42,5,1431.1,44,Candado de alta calidad marca Giant. Ideal para ciclistas exigentes.,3
191,Carretera Modelo 251,Carretera,Specialized,1569.99,10,1412.99,31,Carretera de alta calidad marca Specialized. Ideal para ciclistas exigentes.,1
192,Frenos Modelo 454,Frenos,Specialized,2043.58,20,1634.86,48,Frenos de alta calidad marca Specialized. Ideal para ciclistas exigentes.,1
193,Frenos Modelo 535,Frenos,Specialized,1397.58,10,1257.82,43,Frenos de alta calidad marca Specialized. Ideal para ciclistas exigentes.,2
194,Timbre Modelo 580,Timbre,Giant,1208.29,10,1087.46,11,Timbre de alta calidad marca Giant. Ideal para ciclistas exigentes.,4
195,Candado Modelo 360,Candado,RockShox,2541.78,5,2414.69,12,Candado de alta calidad marca RockShox. Ideal para ciclistas exigentes.,4
196,Carretera Modelo 591,Carretera,Bontrager,1117.26,0,1117.26,40,Carretera de alta calidad marca Bontrager. Ideal para ciclistas exigentes.,2
